id,isb_number,song_title,song_code,album,year,lyricist,composer,singer,musicians,picturized_on,category,transcribed_by,created_at,lyrics_text,film_imdb_id,film_wikidata_id,lyricist_imdb_ids,composer_imdb_ids,singer_imdb_ids,picturized_on_imdb_ids
114,917,"kaa karuu.N sajanii, aaye na baalam",,Swami,,Amit Khanna,Rajesh Roshan,Yesudas,,"Girish Karnad, Dheeraj, Shabana Azmi, Vikram",,,2024-12-06T23:25:26.470358+00:00,"%
kaa karuu.N sajanii, aae na baalam
khoj rahii hai.n piyaa paradesii a.Nkhiyaa.N \- 2
aae na baalam

jab bhii koii, aahaT hoe, manavaa moraa bhaage
dekho kahii.n, TuuTe nahii.n, prem ke ye dhaage
ye matavaarii priit hamaarii
chhupe na chhupaae \- (2)
saavan ho tum mai.n huu.N torii badariyaa
aaye na baalam, kaa karuu.N\threedots

bhor bha_ii aur, saa.Njh Dhalii re, samay ne lii a.nga.Daaii
ye jag saaraa, nii.nd se haaraa, mohe nii.nd na aaii
mai.n ghabaraauu.N, Dar Dar jaauu.N
aae vo na aae \- (2)
raadhaa bulaae kahaa.N khoe ho kanhaiyyaa
aae na baalam, kaa karuu.N\threedots
%",,,,,,
115,14339,ishq binaa kyaa maranaa yaaro ishq binaa kyaa jiinaa,,Taal,1999,Anand Bakshi,A R Rahman,"Anuradha Sriram, Sujatha, Sonu nigam, A R Rahman",,"Akshay Khanna, Aishwarya Roy, Anil Kapoor",,"BOL ANAMOL #12458 [V S Rawat], 01/02/2004",2024-12-06T23:25:26.470358+00:00,"%
ishq binaa kyaa maranaa yaaro ishq binaa kyaa jiinaa
%(what is dieing without being in love, what is living without being in love)

gu.D se miiThaa ishq\-ishq
%(the love is more sweet than dries up sugarcane juice)

imalii se khaTTaa ishq
%(the love is more sour than tamarind)

vaadaa ye pakkaa ishq\-ishq
%(this love is a strong commitment)

dhaagaa ye kachchaa ishq
%(this love is a raw thread)


ishq binaa kyaa jiinaa yaaro ishq binaa kyaa maranaa yaaro
%(what is living without being in love, what is dieing without being in love)


niiche ishq hai uupar rab hai in dono.n ke biich me.n sab hai
%(underneath is love, overhead is god, everything lies in between the two)

ek nahii.n sab baate.n kar lo sau baato.n kaa ek matalab hai
%(not one, but do every talk, there is only one meaning of hundreds of talks)

rab sabase sonaa ishq\-ishq
%(god is better than everybody)

rab se bhii sonaa ishq
%(love is better than god)


hiiraa naa pannaa ishq\-ishq
%(neither diamond, nor emerald, just love, love)

bas ek tamannaa ishq\-ishq
%(just one desire, love, love)


ishq hai kyaa ye kisako pataa ye ishq hai kyaa sabako pataa
%(what is love this is known to whom, what is this love everybody knows)

ye prem\-nagar a.njaan Dagar saajan kaa ghar kyaa kisako Kabar
%(this city of love, unknown pathways, the home of the lover, who knows)

chhoTii sii umar ye la.mbaa safar ye ishq hai kyaa ye kisako pataa
%(the little age, this is a long journey, what is this love, who knows)

ye dard hai yaa dardo.n kii davaa ye ko_ii sanam yaa aap Kudaa
%(is this pain, or the cure of all pains, is this some love, or it itself is god)


tum ne ishq kaa naam sunaa hai ham ne ishq kiyaa hai
%(you have heard the name of love, i have been in love)

phuulo.n kaa gulashan ishq\-ishq
%(the garden of flower, love, love)

kaa.NTo.n kaa daaman ishq
%(the scarf full og thorns, love, love)

ishq\-ishq ishq\-ishq ishq\-ishq ishq\-ishq

%
%Part 2
% 
kisii ke ishq ke vaade kahii.n ham to.D aaye hai.n
%(the promises made in someone's love, i have left broken somewhere)

magar ye dil ye jaa.N shaayad vahii.n ham chho.D aaye hai.n
%(but this heart, this life, probably, i have left there itself)

ishq binaa ishq binaa
ishq binaa kyaa jiinaa yaaraa ishq binaa kyaa maranaa \-2
ishq\-ishq ishq\-ishq 

gu.D se miiThaa
imalii se khaTTaa
vaadaa ye pakkaa
dhaagaa ye kachchaa ishq

gu.D se miiThaa ishq
imalii se khaTTaa ishq
vaadaa ye pakkaa ishq
dhaagaa ye kachchaa ishq

is se pahale is raste me.n kitane hii mahabuub gaye hai.n
%(before this, on this path, so many beloved ones have passed thorugh)

raste me.n dariyaa hai ko_ii
raste me.n dariyaa hai ko_ii jis me.n saare Duub gaye hai.n
%(there is some ocean on the way, in which all of them have got drowned)

phal sab se sachchaa
%(this is the true result of all)

har jhuuTh se jhuuThaa
%(it is more false than every falsehood)

vaadaa ye pakkaa
dhaagaa ye kachchaa

ishq binaa mai.n ishq binaa ishq binaa ishq binaa 
ishq binaa kyaa jiinaa yaaro ishq binaa kyaa maranaa yaaro 

ishq binaa ishq binaa ishq binaa ishq binaa
ishq binaa kyaa jiinaa yaaro ishq binaa kyaa maranaa yaaro
%",,,,,,
116,rmim0599,ghuu.NghaT paT naahii kholuu.N,,Bhartruhari,1944,Pt Indra,Khemchand Prakash,Jahanara Kajjan,,"Surendra, Mumtaz Shanti, Jahanara Kajjan, Arun, Sulochana Chatterjee",,,2024-12-06T23:25:26.470358+00:00,"%
ghuu.NghaT paT naahii kholuu.N
mukh se kachhu naahii boluu.N
nainan me.n kaun base
kaise bhed kholuu.N raajaa

madhur madhur unake bain
sun sun jiyaa parat chain
ulajhe nit rahat nain
man se man ko toluu.N raajaa

saj kar solah si.ngaar
lekar kaliyan kaa haar
kab se priitam ke dwaar
baawarii sii Doluu.N raajaa
%",,,,,,
117,10015,aa re_ilii jaa re_ilii nakhare dikhaa re_ilii kyaa hai iraadaa teraa,,2 October,2003,"Sunil Jha, A K Vyas",Sunil Jha,"Geetanjali, Vinod",,Ashutosh Rana,,BOL ANAMOL #11732 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
vi \:	ai yaar kyaa lag re_ilii hai baap kuchh bhii bol
	baat hai naa haa.N
	ai naaTak nahii.n kyaa
	aa jyaastii naaTak nahii.n
	taariif kiyaa naa
	haa_ii Tuu 
	##looking very good, mem!##
gii \:	ai haT
vi \:	are kyaa haT\-haT karataa hai yaar
gii \:	##hey move up##

vi \:	aa re_ilii jaa re_ilii nakhare dikhaa re_ilii kyaa hai iraadaa teraa
	karatii hai mujhase mohabbat bataa de dimaag kaa dahii mat banaa
	are aa re_ilii jaa re_ilii nakhare dikhaa re_ilii kyaa hai iraadaa teraa
	karatii hai mujhase mohabbat bataa de dimaag kaa dahii mat banaa
gii \:	( chal le\-le ab tuu jaldii varanaa maar pa.Degii jaldii
	haath me.n le ke haldii sarapaT maalish sar kaT jaa_egyaa ) \-2

vi \:	are baap re
	aa re_ilii jaa re_ilii nakhare dikhaa re_ilii kyaa hai iraadaa teraa
	karatii hai mujhase mohabbat bataa de dimaag kaa dahii mat banaa
gii \:	( chal le\-le ab tuu jaldii varanaa maar pa.Degii jaldii
	haath me.n le ke haldii sarapaT maalish sar kaT jaa_egyaa ) \-2

vi \:	aka.D mat baabaa itanaa
	yaar ye la.Dakiyaa.N aaj\-kal kii aka.Datii kaahe kii hai achchhe
	kyaa kyaa nakhare dikhaa re_ilii
	kyaa mai.n piichhe\-piichhe aa re_ilaa huu.N
	tuu aage\-aage jaa re_ilii hai
	ittii baat bas
	haa.N guru aa jaa tujhe ek laukeT dilaa duu.n phokkaT me.n gha.Dii la_ii aayaa

	bhejaa phirelaa hai meraa sabakuu phiraa Daaluu.Ngaa
	banake mai.n teraa diivaanaa duniyaa hilaa Daaluu.Ngaa
	samajhii kyaa
	bhejaa phirelaa hai meraa 
	po po
	sabakuu phiraa Daaluu.Ngaa
	banake mai.n teraa diivaanaa duniyaa hilaa Daaluu.Ngaa
gii \:	haDDii TuuTegii muphat me.n ##mummy## ro_egii muphat me.n
	luulaa la.nga.Daa ban ke jab tuu apane sar ko khujaa_egaa
vi \:	Thiik hai baabaa
gii \:	haDDii TuuTegii muphat me.n ##mummy## ro_egii muphat me.n
	luulaa la.nga.Daa ban ke jab tuu apane sar ko khujaa_egaa
	samajhe kyaa

	ai chal ee
	aa re_ilii jaa re_ilii nakhare dikhaa re_ilii kyaa hai iraadaa teraa
	karatii hai mujhase mohabbat bataa de
	dimaag kaa dahii mat banaa de samajhii kyaa
	kyaa chaal hai bhaa_ii
	are kyaa lag re_ilii hai baap TanaaTan he
	baap appun to usakaa diivaana ho ga_ilaa bhaa_ii
	kyaa ##item## hai yaar

ko \:	chal rii ku.Diye saa.De naal nakharaa chho.D de aayaa hai diivaanaa soNiye
	o chalatii hai to chal pa.njaab nakharaa chho.D de aayaa hai diivaanaa soNiye

	ye to fulaTuu hai baap
	kuchh\-kuchh bolataa hai ki nahii.n yaar
	##ouch##
vi \:	le ke mai.n aayaa TikiT huu.N ##picture## chalegii to chal
	mauqaa hai ##romance## kaa ye bekaar me.n naa aka.D
	sun 
	le ke mai.n aayaa TikiT huu.N
	huu.N huu.N
	##picture## chalegii to ha chal
	chal
	mauqaa hai ##romance## kaa ye bekaar me.n naa aka.D
gii \:	naam haspataal ke baakii jaanaa o paagal aashiq diivaanaa
	##hospital## me.n kam se kam ko_ii milane to aa_egaa
vi \:	balle balle
gii \:	naam haspataal ke baakii jaanaa o paagal aashiq diivaanaa
	##hospital## me.n kam se kam ko_ii
	milane to aa_egaa naa yaar

vi \:	aa re_ilii jaa re_ilii nakhare dikhaa re_ilii kyaa hai iraadaa teraa
	karatii hai mujhase mohabbat bataa de dimaag kaa dahii mat banaa naa naa naa
	aa re_ilii jaa re_ilii nakhare dikhaa re_ilii kyaa hai iraadaa teraa
	karatii hai mujhase mohabbat bataa de dimaag kaa dahii mat banaa
gii \:	( chal le\-le ab tuu jaldii varanaa maar pa.Degii jaldii
	haath me.n le ke haldii sarapaT maalish sar kaT jaa_egyaa ) \-2
vi \:	dimaag kaa dahii mat banaa
	ban gayaa
%",,,,,,
118,21264,saa.Nware tore bin jiyaa jaaye na,,Bandit Queen,1995,"Riaz-ur-Rehman Sushir, Ayub Anwar",Nusrat Fateh Ali Khan,"Nusrat Fateh Ali Khan, Humera Chana",,,,Abhay Phadnis,2024-12-06T23:25:26.470358+00:00,"%
saa.Nware tore bin jiyaa jaaye naa \-2
jaluu.N tere pyaar me.n
karuu.N i.ntazaar teraa
kisii se kahaa jaaye naa
saa.Nware tore bin jiyaa jaaye naa

(strii\-swar:
Dhuu.N.Dhe merii priit re
tuu hai kahaa.N miit re
aa.Nsuu bane giit re
aahe.n sa.ngiit re)

saa.Nware tore bin jiyaa jaaye naa

(yaad tihaarii moraa man ta.Dapaaye
saarii rainaa nii.nd na aaye) \-2
birahaa kii maarii dekhuu.N raah tihaarii
do naino.n ke diip jalaaye
jaluu.N tere pyaar me.n
karuu.N i.ntazaar teraa
kisii se kahaa jaaye naa
saa.Nware tore bin jiyaa jaaye naa

(strii\-swar:
Dhuu.N.Dhe merii priit re
tuu hai kahaa.N miit re
aa.Nsuu bane giit re
aahe.n sa.ngiit re)

saa.Nware tore bin jiyaa jaaye naa

(Duub chale merii aas ke taare
kaise pahu.Nchuu.N pii ke dwaare) \-2
TuuT gaye sab sa.ng sahaare
bole naiyaa duur kinaare
jaluu.N tere pyaar me.n
karuu.N i.ntazaar teraa
kisii se kahaa jaaye naa
saa.Nware tore bin jiyaa jaaye naa

(strii\-swar:
Dhuu.N.Dhe merii priit re
tuu hai kahaa.N miit re
aa.Nsuu bane giit re
aahe.n sa.ngiit re)

saa.Nware
%",,,,,,
119,10728,manachalii o manachalii ... kaun sii hai ye galii,,Barsaat Ki Ek Raat,1981,Anand Bakshi,R D Burman,"Kishore, Lata",,"Amitabh, Rakhee, Amjad Khan, Utpal Dutt, Asrani, Prema Narayan",,BOL ANAMOL #11615 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
manachalii o manachalii ho manachalii ho
arii aa merii chulabulii arii o merii manachalii

ai manachalii ho manachalii kaun sii hai ye galii \-2
ye vo galii hai yahaa.N ik baar jo aayaa
lauT na paayaa
tuu yahaa.N se bach ke nikal jaa_e to qismat hai terii
haay\-haay manachalii o manachalii \threedots

raaz ye raaz bataane kaa nahii.n hai
aane kaa raastaa jaane kaa nahii.n hai
are aisaa lage hai ko_ii bhuul\-bhula_iiyaa.N
thaam le bai.nyaa
mai.n jo kahii.n kho gayaa tuu bhii kho jaa_egii
ho manachalii o manachalii \threedots

are aa gayaa to aa gayaa ab jaa_uu.N kahaa.N mai.n
sar pe qafan baa.Ndh ke aayaa huu.N yahaa.N mai.n \-2
chho.De de ye zid hai burii sun mere raajaa
hosh me.n aa jaa
ki aa gayaa
dil to gayaa jaan bachaa le aage hai terii marzii
ai he manachalii o manachalii \threedots

ab yahaa.N se merii Kabar jaa_e to jaa_e
phir bhii nikal jaa_uu.Ngaa mai.n pa.Nkh lagaa ke
mast havaa ke
dekhanaa tuu dekhatii rah jaa_egii duniyaa saarii
manachalii o manachalii \threedots
%",,,,,,
120,14404,su ru ru ru ru ... kuchh ruup usakaa mahakaa,,Tum Bin,2001,Ravi Pawaar,Nikhil Vinay,"Sonu Nigam, Chorus",,"Priyanshu, Sandali Sinha, Rakesh, Himanshu",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
he he he he
tum su ru ru ru ru ru ru
su ru ru ru ru
su ru ru ru ru
su ru ru ru ru
kuchh ruup usakaa mahakaa kuchh mai.n bhii bahakaa bahakaa
mastii me.n dil ye gaane lagaa su ru ru ru ru
usape merii nazar hai vo mujhase bekhabar hai
mujhe pyaar us pe aane lagaa haay
kuchh ruup usakaa \threedots

pahale na thii itanii bekaraar zi.ndagii
naa jaane kyuu.N aisaa lagataa hai kabhii kabhii
tanhaa_ii raas nahii.n vo mere paas nahii.n
usakaa ehasaas mere dil me.n jaagane lagaa
puuchho naa haal hai kyaa jhuume.n dil aaj meraa
kahii.n meraa hosh kho na jaa_e
kuchh ruup usakaa \threedots

usakii nazar kuchh to kaam aisaa kar ga_ii
naa jaane kab mere dil me.n vo utar ga_ii
ab tak anjaan thaa mai.n jaanaa hai aaj ye
dil ke aramaan use paane ko machal ga_e
dil ne use jaan liyaa maine pahachaan liyaa
ko_ii use aaj ye bataa_e
kuchh ruup usakaa \threedots
%",,,,,,
121,1263,"muhabbat kii raaho.n me.n, chalanaa sambhal ke",,Udan Khatola,1955,Shakeel,Naushad,Rafi,,"Dilip Kumar, Nimmi",,,2024-12-06T23:25:26.470358+00:00,"%
muhabbat kii raaho.n me.n
chalanaa sambhal ke
yahaa.N jo bhii aayaa
gayaa haath mal ke

na paaii kisii ne muhabbat kii ma.nzil
qadam Dagamagaae, zaraa duur chal ke

hame.n Dhuu.NDhatii hai, bahaaro.n kii duniyaa
kahaa.N aa gae ham, chaman se nikal ke

kahii.n Duub jaae na, hasarat bharaa dil
na yuu.N tiir fe.nko, nishaanaa badal ke
%",,,,,,
122,2890,koii banaa aaj apanaa,,Malti Madhav,,Pt. Narendra Sharma,Sudhir Phadke,Lata,,"Durga Khote, Anant Marathe",,Anil Hingorani,2024-12-06T23:25:26.470358+00:00,"%

ko_ii banaa aaj apanaa \-4

sukh me.n aa.Nkhe.n ba.nd ho rahii
khule hR^iday ke dvaar
do man milakar ek hu_e hai.n
do do nainaa chaar \-2
chaar nain dekhe.n hil mil kar
ek madhur sapanaa

banaa aaj apanaa \threedots

chaar charaN par paa.Nch ek hai
chaar agar do baat
ek giit me.n ba.Ndhatii jaatii
chaar chaa.Ndanii raat \-2
madhur priit kii phul_maalaa par
praaN naam japanaa

banaa aaj apanaa \threedots

prem hi.nDolaa jhuule.n hil mil
ek qadam ?????
naache rut chham chham ke
bhare bahan me.n bahan \-2
baar baar naino.n kaa milanaa
palako.n kaa jhapanaa

banaa aaj apanaa \threedots

%",,,,,,
123,11222,ai bhuul ga_e tum hamako yaad nahii.n kyaa tumako,,Darling Darling,1977,Anand Bakshi,R D Burman,"Kishore, Asha",,"Dev Anand, Zeenat Aman",,BOL ANAMOL #11582 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
ai bhuul ga_e tum hamako yaad nahii.n kyaa tumako
are kal mile the ham tumhe.n aaj phir milanaa thaa
are mulaakaat ek raat kii raat
raat ga_ii baat ga_ii ho
raat ga_ii baat ga_ii sab ga_e

roz na_e pyaar kaa nayaa daur zindagaanii na_ii
dekhkar ham nikale bevafaa harajaa_ii
kal mile the ham\-tum
sab jazbaat kii ik raat kii raat
raat ga_ii baat \threedots

aaj hamaaraa bhii pyaar puraanaa hu_aa guru maaf karanaa
ek suurat dekhate zamaanaa hu_aa maaf karanaa
bevafaa_ii tumase siikh lii hamane bhii
kal mile the ham\-tum
raat ga_ii baat \threedots
%",,,,,,
124,13442,pahalii nazar me.n ... nazar milate hii aisaa kyaa ho gayaa,,Pyaar Koi Khel Nahin,1999,Majrooh,Jatin Lalit,"Vinod Rathod, Alka Yagnik",,"Sunny Deol, Mahima Chaudhary, Apurva Agnihotri",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
pahalii nazar me.n dil na jaane kaise kho gayaa
abhii abhii apanaa thaa paraayaa kaise ho gayaa

haa.n nazar milate hii aisaa kyaa ho gayaa
bataa_e ko_ii pal me.n ye kyaa ho gayaa
ke aaj tak thaa apanaa jo dil kaise ho gayaa paraayaa
nazar milate hii \threedots

ye khel hai kyaa kisii ko kabhii na jaane ko_ii na pahachaane
kabhii vo kahii.n milaa bhii nahii.n ke naam pataa ko_ii jaane
ho gayaa apanaa ha haa.n dil me.n jo kabhii naa
are ho gayaa apanaa dil me.n jo kabhii naa aayaa 
nazar milate hii \threedots

khulii nazaro.n kaa khvaab hai ye ajiib hai pyaar kaa aalam
basant binaa bahaar khile ke ra.ng barase bin mausam
anjaanaa dilabar aisaa tan man par chhaayaa
he nazar milate hii \threedots
%",,,,,,
125,3403,maazandaraa.N maazandaraa.N,,Rustom Sohrab,1963,Jaan Nisar Akhtar,Sajjad,Talat,,"Prithviraj Kapoor, Suraiyya, Premnath, Mumtaz",,U.V. Ravindra,2024-12-06T23:25:26.470358+00:00,"%
maazandaraan! maazandaraan! \- 2 
mere vatan! mere jahaan! ai gulasitaan! jannat\-nishaan! 

har phuul teraa ik chaman, 
har shaaK hai naazuk dulhan 
ai jaan\-e\-man, ai jaan\-e\-man 
sadaqe tere \threedots 
sadaqe tere ye jism\-o\-jaan 
maazandaraan!  maazandaraan! 

zarre hai.n tere yaa guhar, 
pa.Datii hai shaaho.n kii nazar 
laal\-o\-jawaahir is qadar, 
mumakin nahii.n \threedots 
mumakin nahii.n jinakaa bayaan 
maazandaraan!  maazandaraan! 

ik husn kii mahafil hai tuu, 
har shauq kii ma.nzil hai tuu 
ham aashiqo.n kaa dil hai tuu, 
har lab pe terii daastaan 
maazandaraan! maazandaraan! 

%",,,,,,
126,2109,jhir jhir jhir jhir badaravaa barase,,Parivaar,1956,Shailendra,Salil Choudhary,"Hemant, Lata",,,,Prithviraj Dasgupta,2024-12-06T23:25:26.470358+00:00,"%
  
la: jhir jhir jhir jhir badarava barase
    o kaare kaare,
    soye aramaan jaage ka_ii tuufaan jaage,
    maane naa jiyaa moraa sajanaa binaa
  
    o o o
    aajaa ke tohe meraa priit pukaare
    tujhako hii aaj teraa giit pukaare
    yaad aa_ii biitii baate.n
    tumase milan kii raate.n
    kaahe ko bhule mohe, apanaa banaa
  
    jhir jhir jhir jhir badaravaa barase
    o kaare kaare, jhir jhir jhir jhir
  
he: jhir jhir jhir jhir badaravaa barase
    o kaare kaare,
    soye aramaan jaage, ka_ii tuufaan jaage,
    barakhaa na bhaaye gorii tere binaa
  
    tere ghu.ngharaale kaale baalo.n se
    kaalii raat ne aaj merii nii.nd churaa lii
la: tose hii pyaar karuu.N
he: teraa i.ntazaar karuu.N
do: tere bin jhuuThaa meraa har sapanaa
  
do: jhir jhir jhir jhir badarvaa barase
    o kaare kaare, jhir jhir jhir jhir
  
%",,,,,,
127,12148,jab nazar ba.nd thii vo mere paas thaa ... muhabbat hai yaaro.n Gam,,Jeenaa Marnaa Tere Sang,1992,Sameer,Dilip Sen Sameer Sen,Anuradha Paudwal,,"Sanjay Dutt, Raveena, Javed Jafri, Paresh, Tej Sapru, Aruna Irani",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
jab nazar ba.nd thii vo mere paas thaa
jab aa.Nkh khulii to jaane kyaa ho gayaa
jisakii chaahat se roshan thaa dil kaa diyaa
aaj vo hii sanam bevafaa ho gayaa

muhabbat hai yaaro.n Gam kaa samandar
zaraa sochanaa dil lagaane se pahale
nazare.n tumhaarii naa khaa jaa_e.n dhokhaa
nazare.n kisii se milaane se pahale
muhabbat hai yaaro.n \threedots

vaadaa to karate hai.n ye duniyaa vaale
magar jag me.n kaun nibhaataa hai vaadaa
kisii duusare ko samajh lenaa yaaro.n
chaahat kaa vaadaa nibhaane se pahale
muhabbat hai yaaro.n \threedots

chhoTaa saa dil naa kahii.n TuuT jaa_e
aa.Nkho.n se dariyaa bhii naa chhuuT jaa_e
hazaaro.n dafaa haath siine pe rakhanaa
kisii ko bhii apanaa banaane se pahale
muhabbat hai yaaro.n \threedots

milegii zamaane me.n bas bevafaa_ii
vafaa kii ummiide.n na rakhanaa kisii se
kahii.n biich me.n naa mahal TuuT jaa_e
khvaabo.n kii duniyaa sajaane se pahale
muhabbat hai yaaro.n \threedots
%",,,,,,
128,10650,kho diyaa mai.n ne paa kar kisii ko,,Baaraadari,1955,Khumar Barabankvi,Nashad,Lata,,"Ajeet, Geeta Bali",,BOL ANAMOL #11942 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
( kho diyaa mai.n ne paa kar kisii ko
aaG lag jaaye is zindagii ko ) \-2

din ye qisamat ne kaise dikhaaye
the jo apane huye wo paraaye
apanaa kahanaa hai ab ajanabii ko
aaG lag jaaye is zindagii ko

shaadiyaane baje.nge Kushii ke \-2
ho.nge aramaan puure kisii ke
ho.NTh tarase.nge mere ha.Nsii ko
aaG lag jaaye is zindagii ko

chaa.Nd\-taaro.n kaa pheraa rahegaa
mere dil me.n andheraa rahegaa
shamaa royegii ab roshanii ko
aaG lag jaaye is zindagii ko

kho diyaa mai.n ne paa kar kisii ko
aaG lag jaaye is zindagii ko
%",,,,,,
129,21421,alabelaa re alabelaa re ruk jaanaa,,Raampur Ka Lakshman,1972,Majrooh,R D Burman,Lata,,Rekha,,Asif Alvi,2024-12-06T23:25:26.470358+00:00,"%
( alabelaa re alabelaa re ruk jaanaa
dil to.Dake tuu kahaa.N jaataa hai ) \- 2

alabelii huu.N mai.n bhii terii diiwaanii
zaalim tuune merii qadar naa jaanii
o re gaa.Nv ke chhailaa tujhe qasam hai
hathuaa jo.De tohe morii jawaanii
ru ru ru ruu ruu ruu ru ru ru ru ruu
ru ru ru haay haay kyo.n ta.Dapaataa hai
alabelaa re alabelaa re ruk jaanaa
dil to.Dake tuu kahaa.N jaataa hai

kahataa thaa jaanuu.N jii pe khel jaanaa re
sau pe bhaarii huu.N mai.n aaye zamaanaa re
matawaalaa ban aayaa thaa pyaar karane
mauqaa jab aayaa Dar gayaa diiwaanaa
la la la laa laa laa la la la la laa
la la la haay kaisaa ghabaraataa hai
alabelaa re alabelaa re ruk jaanaa
dil to.Dake tuu kahaa.N jaataa hai

aaya chorii karane labo.n kii laalii
laalii kaisii Kud ne nazar churaa lii
buddhuu buzadil jhuuThe nahii.n rukegaa?
ruk jaa waranaa duu.Ngii hazaar gaalii
ru ru ru ruu ruu ruu ru ru ru ru ruu
ru ru ru haay phir bhii chalaa jaataa hai
alabelaa re alabelaa re ruk jaanaa
dil to.Dake tuu kahaa.N jaataa hai

alabelaa re alabelaa re ruk jaanaa
dil to.Dake tuu kahaa.N jaataa hai

%",,,,,,
130,15076,mil ga_ii ThaNDak nigaaho.n ko tere diidaar se,,Zindagi (Pakistani-Film),1960,,Master Abdullah,Noorjehan,,,,"V S Rawat, Aug 13, 2004",2024-12-06T23:25:26.470358+00:00,"( mil ga_ii ThaNDak nigaaho.n ko tere diidaar se
ho sake to aaj de aawaaz mujhako pyaar se ) \-2

tujhase milii hai zi.ndagii tuune ataa kii roshanii
naqsh hai.n dil ke mere tasviir tere pyaar kii
pyaar wo shay to nahii.n jo mil sake baazaar se
ho sake to aaj de aawaaz mujhako pyaar se

mil ga_ii mujhako zubaa.N shauq hai meraa jawaa.N
dau.D kar tujhako bataa_uu.N mai.n bhalaa jaa_uu.N kahaa.N
sheikh nisbat hai mujhe tere dar\-o\-diiwaar se
ho sake to aaj de aawaaz mujhako pyaar se

lab pe hai mere du_aa tuu yuu.N hii mahake sadaa
taariikiiyaa.N bujhatii rahe.n jalataa rahe teraa diyaa
log maa.ngaa hii kare.n Kusbhuu tere gulazaar se

ho sake to aaj de aawaaz mujhako pyaar se
mil ga_ii ThaNDak nigaaho.n ko tere diidaar se
ho sake to aaj de aawaaz mujhako pyaar se",,,,,,
131,12030,apun bolaa tuu merii lailaa ... ye usakaa ##style## ho_e.ngaa,,2000,2001,Nitin Raikwar,Annu Malik,"Hema Sardesai, Shahrukh Khan",,"Shahrukh Khan, Aishwarya Rai, Chandrachud Singh, Sharad Kapoor, Priya Gil",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
apun bolaa tuu merii lailaa
vo bolii phe.nkataa hai saalaa
apun jab bhii sachchii bolataa hai
ai usako jhuuTh kaayako lagataa hai re

ye usakaa ##style## ho_e.ngaa
ho.nTho.n pe naa dil me.n haa.N ho_e.ngaa
aaj nahii.n to kal bolegii
ai tuu ##tension## kaa_eko letaa re
apun bolaa tuu \threedots

ek kaam kar usako bulaa
hoTal me.n khaanaa khilaa
sama.ndar kinaare le jaake re
bol de khullam khullaa
are maine use bulaayaa
kokam karii khilaayaa
phir dekh ke maukaa maaraa chaukaa
dil kii baat bataayaa re
ai kyaa bataayaa re
apun bolaa tuu \threedots

apun jab bhii sachchii bolataa hai
ai usako jhuuThiich lagataa hai yaar

sau lafa.De dekhe maine
teraa lafa.Daa haTake hai
sab kuchh ##clear## hoke bhii
tuu kisame.n aTake hai

apun bolaa tuu merii lai

ghar se bhagaa ke le jaa
samajhegii terii baat ko
are ghar se bhagaa ke le gayaa thaa
mai.n usako aadhii raat ko
ai ##setting##hu_ii kyaa
apun bolaa tuu \threedots

apun jab bhii sachchii bolataa hai
ai usako hameshaa jhuuTh hii lagataa hai yaar
%",,,,,,
